Player No.,Name,Runs
16,Reeza Hendricks,17
16,Reeza Hendricks,42
16,Reeza Hendricks,17
16,Reeza Hendricks,2
16,Reeza Hendricks,69
16,Reeza Hendricks,38
16,Reeza Hendricks,18
16,Reeza Hendricks,39
16,Reeza Hendricks,11
16,Reeza Hendricks,4
16,Reeza Hendricks,2
16,Reeza Hendricks,4
16,Reeza Hendricks,23
16,Reeza Hendricks,57
16,Reeza Hendricks,53
16,Reeza Hendricks,70
16,Reeza Hendricks,74
16,Reeza Hendricks,42
16,Reeza Hendricks,21
16,Reeza Hendricks,68
16,Reeza Hendricks,83
16,Reeza Hendricks,56
16,Reeza Hendricks,3
16,Reeza Hendricks,42
16,Reeza Hendricks,49
16,Reeza Hendricks,8
16,Reeza Hendricks,87
16,Reeza Hendricks,34
16,Reeza Hendricks,6
16,Reeza Hendricks,4
16,Reeza Hendricks,3
16,Reeza Hendricks,0
16,Reeza Hendricks,43
16,Reeza Hendricks,11
16,Reeza Hendricks,19
16,Reeza Hendricks,0
16,Reeza Hendricks,4
17,Glenn Phillips,5
17,Glenn Phillips,11
17,Glenn Phillips,56
17,Glenn Phillips,10
17,Glenn Phillips,3
17,Glenn Phillips,5
17,Glenn Phillips,12
17,Glenn Phillips,5
17,Glenn Phillips,26
17,Glenn Phillips,22
17,Glenn Phillips,108
17,Glenn Phillips,23
17,Glenn Phillips,31
17,Glenn Phillips,30
17,Glenn Phillips,8
17,Glenn Phillips,13
17,Glenn Phillips,1
17,Glenn Phillips,14
17,Glenn Phillips,13
17,Glenn Phillips,33
17,Glenn Phillips,2
17,Glenn Phillips,18
17,Glenn Phillips,0
17,Glenn Phillips,34
17,Glenn Phillips,0
17,Glenn Phillips,23
17,Glenn Phillips,23
17,Glenn Phillips,14
17,Glenn Phillips,17
17,Glenn Phillips,76
17,Glenn Phillips,41
17,Glenn Phillips,18
17,Glenn Phillips,60
17,Glenn Phillips,29
17,Glenn Phillips,12
17,Glenn Phillips,104
17,Glenn Phillips,62
17,Glenn Phillips,17
17,Glenn Phillips,6
17,Glenn Phillips,12
17,Glenn Phillips,54
17,Glenn Phillips,17
17,Glenn Phillips,5
17,Glenn Phillips,2
17,Glenn Phillips,41
17,Glenn Phillips,22
17,Glenn Phillips,69
17,Glenn Phillips,42
17,Glenn Phillips,0
17,Glenn Phillips,1
17,Glenn Phillips,19
17,Glenn Phillips,13
17,Glenn Phillips,19
17,Glenn Phillips,26
17,Glenn Phillips,42
17,Glenn Phillips,18
17,Glenn Phillips,40
18,Mitchell Marsh,36
18,Mitchell Marsh,13
18,Mitchell Marsh,13
18,Mitchell Marsh,35
18,Mitchell Marsh,24
18,Mitchell Marsh,6
18,Mitchell Marsh,21
18,Mitchell Marsh,21
18,Mitchell Marsh,19
18,Mitchell Marsh,6
18,Mitchell Marsh,19
18,Mitchell Marsh,45
18,Mitchell Marsh,0
18,Mitchell Marsh,6
18,Mitchell Marsh,10
18,Mitchell Marsh,51
18,Mitchell Marsh,54
18,Mitchell Marsh,9
18,Mitchell Marsh,75
18,Mitchell Marsh,30
18,Mitchell Marsh,45
18,Mitchell Marsh,45
18,Mitchell Marsh,51
18,Mitchell Marsh,11
18,Mitchell Marsh,4
18,Mitchell Marsh,11
18,Mitchell Marsh,53
18,Mitchell Marsh,28
18,Mitchell Marsh,11
18,Mitchell Marsh,3
18,Mitchell Marsh,36
18,Mitchell Marsh,45
18,Mitchell Marsh,0
18,Mitchell Marsh,16
18,Mitchell Marsh,17
18,Mitchell Marsh,28
18,Mitchell Marsh,45
18,Mitchell Marsh,15
18,Mitchell Marsh,16
18,Mitchell Marsh,29
18,Mitchell Marsh,17
18,Mitchell Marsh,26
18,Mitchell Marsh,14
18,Mitchell Marsh,35
18,Mitchell Marsh,8
18,Mitchell Marsh,1
18,Mitchell Marsh,12
18,Mitchell Marsh,37
19,Finn Allen,0
19,Finn Allen,17
19,Finn Allen,71
19,Finn Allen,15
19,Finn Allen,12
19,Finn Allen,41
19,Finn Allen,1
19,Finn Allen,35
19,Finn Allen,14
19,Finn Allen,101
19,Finn Allen,6
19,Finn Allen,8
19,Finn Allen,13
19,Finn Allen,13
19,Finn Allen,16
19,Finn Allen,62
19,Finn Allen,32
19,Finn Allen,12
19,Finn Allen,42
19,Finn Allen,1
19,Finn Allen,16
19,Finn Allen,32
19,Finn Allen,4
19,Finn Allen,0
19,Finn Allen,3
19,Finn Allen,35
19,Finn Allen,11
19,Finn Allen,3
19,Finn Allen,21
19,Finn Allen,3
19,Finn Allen,83
19,Finn Allen,16
19,Finn Allen,1
19,Finn Allen,2
19,Finn Allen,38
19,Finn Allen,34
19,Finn Allen,74
19,Finn Allen,137
19,Finn Allen,8
19,Finn Allen,22
19,Finn Allen,32
19,Finn Allen,6
19,Finn Allen,13
19,Finn Allen,26
19,Finn Allen,9
19,Finn Allen,0
20,Rilee Rossouw,78
20,Rilee Rossouw,12
20,Rilee Rossouw,4
20,Rilee Rossouw,15
20,Rilee Rossouw,0
20,Rilee Rossouw,38
20,Rilee Rossouw,26
20,Rilee Rossouw,18
20,Rilee Rossouw,19
20,Rilee Rossouw,16
20,Rilee Rossouw,0
20,Rilee Rossouw,4
20,Rilee Rossouw,31
20,Rilee Rossouw,0
20,Rilee Rossouw,0
20,Rilee Rossouw,109
20,Rilee Rossouw,0
20,Rilee Rossouw,7
20,Rilee Rossouw,25
20,Rilee Rossouw,10
20,Rilee Rossouw,16
20,Rilee Rossouw,42
